reference,value,mpn,description,footprint,pad_count,connected_net_count,connected_nets_sample
DL17,TVS_TBD,,,,2,1,L_OPT_BIAS_16
DL18,TVS_TBD,,,,2,1,L_OPT_BIAS_17
DL19,TVS_TBD,,,,2,1,L_OPT_BIAS_18
DL20,TVS_TBD,,,,2,1,L_OPT_BIAS_19
DL21,TVS_TBD,,,,2,1,L_OPT_BIAS_20
DL22,TVS_TBD,,,,2,1,L_OPT_BIAS_21
DL23,TVS_TBD,,,,2,1,L_OPT_BIAS_22
DL24,TVS_TBD,,,,2,1,L_OPT_BIAS_23
DL25,TVS_TBD,,,,2,1,L_OPT_BIAS_24
DL26,TVS_TBD,,,,2,1,L_OPT_BIAS_25
DL27,TVS_TBD,,,,2,1,L_OPT_BIAS_26
DL28,TVS_TBD,,,,2,1,L_OPT_BIAS_27
DL29,TVS_TBD,,,,2,1,L_OPT_BIAS_28
DL30,TVS_TBD,,,,2,1,L_OPT_BIAS_29
DL31,TVS_TBD,,,,2,1,L_OPT_BIAS_30
DL32,TVS_TBD,,,,2,1,L_OPT_BIAS_31
DLB01,CLAMP_TBD,,,,2,1,L_AUX_EXT_00
DLB02,CLAMP_TBD,,,,2,1,L_AUX_EXT_01
DLB03,CLAMP_TBD,,,,2,1,L_AUX_EXT_02
DLB04,CLAMP_TBD,,,,2,1,L_AUX_EXT_03
DLB05,CLAMP_TBD,,,,2,1,L_AUX_EXT_04
DLB06,CLAMP_TBD,,,,2,1,L_AUX_EXT_05
DLB07,CLAMP_TBD,,,,2,1,L_AUX_EXT_06
DLB08,CLAMP_TBD,,,,2,1,L_AUX_EXT_07
DLB09,CLAMP_TBD,,,,2,1,L_AUX_EXT_08
DLB10,CLAMP_TBD,,,,2,1,L_AUX_EXT_09
DR01,TVS_TBD,,,,2,1,R_OPT_BIAS_00
DR02,TVS_TBD,,,,2,1,R_OPT_BIAS_01
DR03,TVS_TBD,,,,2,1,R_OPT_BIAS_02
DR04,TVS_TBD,,,,2,1,R_OPT_BIAS_03
DR05,TVS_TBD,,,,2,1,R_OPT_BIAS_04
DR06,TVS_TBD,,,,2,1,R_OPT_BIAS_05
DR07,TVS_TBD,,,,2,1,R_OPT_BIAS_06
DR08,TVS_TBD,,,,2,1,R_OPT_BIAS_07
DR09,TVS_TBD,,,,2,1,R_OPT_BIAS_08
