reference,value,mpn,description,footprint,pad_count,connected_net_count,connected_nets_sample
U380,AST2600,AST2600A3-T,ASPEED BMC System Management Controller,Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm,0,0,
UCOND_L,64CH_CONDITIONER_TBD,,,,64,64,L_LOCAL_CTRL_00 L_LOCAL_CTRL_01 L_LOCAL_CTRL_02 L_LOCAL_CTRL_03 L_LOCAL_CTRL_04 L_LOCAL_CTRL_05 L_LOCAL_CTRL_06 L_LOCAL_CTRL_07
UCOND_R,64CH_CONDITIONER_TBD,,,,64,64,R_LOCAL_CTRL_00 R_LOCAL_CTRL_01 R_LOCAL_CTRL_02 R_LOCAL_CTRL_03 R_LOCAL_CTRL_04 R_LOCAL_CTRL_05 R_LOCAL_CTRL_06 R_LOCAL_CTRL_07
UL01,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_00 L_OPT_MONITOR_00
UL02,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_01 L_OPT_MONITOR_01
UL03,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_02 L_OPT_MONITOR_02
UL04,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_03 L_OPT_MONITOR_03
UL05,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_04 L_OPT_MONITOR_04
UL06,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_05 L_OPT_MONITOR_05
UL07,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_06 L_OPT_MONITOR_06
UL08,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_07 L_OPT_MONITOR_07
UL09,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_08 L_OPT_MONITOR_08
UL10,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_09 L_OPT_MONITOR_09
UL11,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_10 L_OPT_MONITOR_10
UL12,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_11 L_OPT_MONITOR_11
UL13,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_12 L_OPT_MONITOR_12
UL14,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_13 L_OPT_MONITOR_13
UL15,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_14 L_OPT_MONITOR_14
UL16,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_15 L_OPT_MONITOR_15
UL17,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_16 L_OPT_MONITOR_16
UL18,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_17 L_OPT_MONITOR_17
UL19,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_18 L_OPT_MONITOR_18
UL20,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_19 L_OPT_MONITOR_19
UL21,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_20 L_OPT_MONITOR_20
UL22,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_21 L_OPT_MONITOR_21
UL23,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_22 L_OPT_MONITOR_22
UL24,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_23 L_OPT_MONITOR_23
UL25,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_24 L_OPT_MONITOR_24
UL26,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_25 L_OPT_MONITOR_25
UL27,BUFFER_DRIVER_TBD,,,,2,2,L_EO_DRIVE_26 L_OPT_MONITOR_26
